eid,etid,lid,ino,name,cat,desc,datasheet
27,27,12,1,CD4029,CMOS 4000 Series Logic Gates,"PRESETTABLE UP/DOWN COUNTER, BINARY OR BCD-DECADE",
28,28,12,1,CD4030,CMOS 4000 Series Logic Gates,QUAD¾XOR¾GATE (REPLACED BY 4070),
29,29,#N/A,1,CD4031,CMOS 4000 Series Logic Gates,64-STAGE SHIFT REGISTER,
30,30,#N/A,1,CD4032,CMOS 4000 Series Logic Gates,TRIPLE SERIAL ADDER,
31,31,#N/A,1,CD4033,CMOS 4000 Series Logic Gates,DECADE COUNTER WITH DECODED 7-SEGMENT DISPLAY OUTPUTS AND RIPPLE BLANKING,
32,32,#N/A,1,CD4034,CMOS 4000 Series Logic Gates,8-STAGE BIDIRECTIONAL PARALLEL/SERIAL INPUT/OUTPUT REGISTER,
33,33,12,1,CD4035,CMOS 4000 Series Logic Gates,4-STAGE PARALLEL-IN/PARALLEL-OUT SHIFT REGISTER,
34,34,#N/A,1,CD4038,CMOS 4000 Series Logic Gates,TRIPLE SERIAL ADDER,
35,35,12,1,CD4040,CMOS 4000 Series Logic Gates,12-STAGE BINARY RIPPLE COUNTER,
36,36,13,1,CD4041,CMOS 4000 Series Logic Gates,QUAD TRUE/COMPLEMENT BUFFER,
37,37,13,1,CD4042,CMOS 4000 Series Logic Gates,QUAD D-TYPE LATCH,
38,38,13,1,CD4043,CMOS 4000 Series Logic Gates,QUAD NOR¾R/S LATCH¾WITH¾TRI-STATE¾OUTPUTS,
39,39,13,1,CD4044,CMOS 4000 Series Logic Gates,QUAD NAND R/S LATCH WITH TRI-STATE OUTPUTS,
40,40,#N/A,1,CD4045,CMOS 4000 Series Logic Gates,21-STAGE COUNTER,
41,41,13,1,CD4046,CMOS 4000 Series Logic Gates,PHASE-LOCKED LOOP¾WITH¾VCO,
42,42,13,1,CD4047,CMOS 4000 Series Logic Gates,MONOSTABLE/ASTABLE¾MULTIVIBRATOR,
43,43,15,1,CD4048,CMOS 4000 Series Logic Gates,3-STATE MULTIFUNCTIONAL EXPANDABLE 8-INPUT GATE (TRI-STATE OUTPUT),
44,44,13,1,CD4049,CMOS 4000 Series Logic Gates,HEX INVERTER,
45,45,13,1,CD4050,CMOS 4000 Series Logic Gates,HEX BUFFER/CONVERTER (NON-INVERTING),
46,46,13,1,CD4051,CMOS 4000 Series Logic Gates,8-CHANNEL ANALOG MULTIPLEXER/DEMULTIPLEXER,
47,47,#N/A,1,CD4052,CMOS 4000 Series Logic Gates,DUAL 4-CHANNEL ANALOG MULTIPLEXER/DEMULTIPLEXER,
48,48,13,1,CD4053,CMOS 4000 Series Logic Gates,TRIPLE 2-CHANNEL ANALOG MULTIPLEXER/DEMULTIPLEXER,
49,49,#N/A,1,CD4054,CMOS 4000 Series Logic Gates,4-SEGMENT¾LCD¾DRIVER,
50,50,#N/A,1,CD4055,CMOS 4000 Series Logic Gates,"BCD TO 7-SEGMENT DECODER/LCD DRIVER WITH ""DISPLAY-FREQUENCY"" OUTPUT",
51,51,#N/A,1,CD4056,CMOS 4000 Series Logic Gates,BCD TO 7-SEGMENT DECODER/LCD DRIVER WITH STROBED-LATCH FUNCTION,
52,52,#N/A,1,CD4059,CMOS 4000 Series Logic Gates,PROGRAMMABLE DIVIDE-BY-N COUNTER,
53,53,#N/A,1,CD4060,CMOS 4000 Series Logic Gates,14-STAGE BINARY RIPPLE COUNTER AND¾OSCILLATOR,
54,54,#N/A,1,CD4062,CMOS 4000 Series Logic Gates,LOGIC DUAL 3 MAJORITY GATE,
55,55,#N/A,1,CD4063,CMOS 4000 Series Logic Gates,4-BIT¾DIGITAL COMPARATOR,
56,56,13,1,CD4066,CMOS 4000 Series Logic Gates,"QUAD¾ANALOG SWITCH¾(LOW ""ON"" RESISTANCE)",
57,57,#N/A,1,CD4067,CMOS 4000 Series Logic Gates,16-CHANNEL ANALOG MULTIPLEXER/DEMULTIPLEXER (1-OF-16 SWITCH),
58,58,15,1,CD4068,CMOS 4000 Series Logic Gates,8-INPUT NAND GATE,
59,59,13,1,CD4069,CMOS 4000 Series Logic Gates,HEX INVERTER,
60,60,13,1,CD4070,CMOS 4000 Series Logic Gates,QUAD 2-INPUT¾XOR GATE,
61,61,13,1,CD4071,CMOS 4000 Series Logic Gates,QUAD 2-INPUT¾OR GATE,
62,62,13,1,CD4072,CMOS 4000 Series Logic Gates,DUAL 4-INPUT OR GATE,
63,63,13,1,CD4073,CMOS 4000 Series Logic Gates,TRIPLE 3-INPUT¾AND GATE,
64,64,#N/A,1,CD4075,CMOS 4000 Series Logic Gates,TRIPLE 3-INPUT OR GATE,
65,65,13,1,CD4076,CMOS 4000 Series Logic Gates,QUAD D-TYPE REGISTER WITH TRI-STATE OUTPUTS,
66,66,15,1,CD4077,CMOS 4000 Series Logic Gates,QUAD 2-INPUT¾XNOR GATE,
67,67,#N/A,1,CD4078,CMOS 4000 Series Logic Gates,8-INPUT NOR/OR GATE,
68,68,13,1,CD4081,CMOS 4000 Series Logic Gates,QUAD 2-INPUT AND GATE,
69,69,13,1,CD4082,CMOS 4000 Series Logic Gates,DUAL 4-INPUT AND GATE,
70,70,15,1,CD4085,CMOS 4000 Series Logic Gates,"DUAL 2-WIDE, 2-INPUT AND/OR INVERT (AOI)",
71,71,15,1,CD4086,CMOS 4000 Series Logic Gates,"6-WIDE AND-NOR, EXPANDABLE 4-WIDE, 2-INPUT AND/OR INVERT (AOI)",
72,72,#N/A,1,CD4089,CMOS 4000 Series Logic Gates,BINARY RATE MULTIPLIER,
73,73,13,1,CD4093,CMOS 4000 Series Logic Gates,QUAD 2-INPUT¾SCHMITT TRIGGER¾NAND GATE,
74,74,14,1,CD4094,CMOS 4000 Series Logic Gates,8-STAGE SHIFT-AND-STORE BUS,
75,75,#N/A,1,CD4095,CMOS 4000 Series Logic Gates,GATED J-K FLIP-FLOP (NON-INVERTING),
76,76,#N/A,1,CD4096,CMOS 4000 Series Logic Gates,GATED J-K FLIP-FLOP (INVERTING AND NON-INVERTING),
77,77,#N/A,1,CD4097,CMOS 4000 Series Logic Gates,DIFFERENTIAL 8-CHANNEL ANALOG MULTIPLEXER/DEMULTIPLEXER,
78,78,14,1,CD4098,CMOS 4000 Series Logic Gates,DUAL ONE-SHOT MONOSTABLE,
79,79,15,1,CD4099,CMOS 4000 Series Logic Gates,8-BIT ADDRESSABLE LATCH,
80,80,#N/A,1,CD4104,CMOS 4000 Series Logic Gates,QUAD LOW-TO-HIGH VOLTAGE TRANSLATOR WITH TRI-STATE OUTPUTS,
81,81,#N/A,1,CD4106,CMOS 4000 Series Logic Gates,HEX SCHMITT TRIGGER,
82,82,15,1,CD4160,CMOS 4000 Series Logic Gates,PROGRAMMABLE DECADE COUNTER WITH ASYNCHRONOUS CLEAR,
83,83,15,1,CD4161,CMOS 4000 Series Logic Gates,4-BIT BINARY COUNTER WITH ASYNCHRONOUS CLEAR,
84,84,#N/A,1,CD4162,CMOS 4000 Series Logic Gates,DECADE COUNTER WITH SYNCHRONOUS CLEAR,
85,85,15,1,CD4163,CMOS 4000 Series Logic Gates,"PROGRAMMABLE DECADE COUNTER, 4-BIT BINARY COUNTER WITH SYNCHRONOUS CLEAR",
86,86,15,1,CD4174,CMOS 4000 Series Logic Gates,HEX D-TYPE FLIP-FLOP,
87,87,#N/A,1,CD4175,CMOS 4000 Series Logic Gates,QUAD D-TYPE FLIP-FLOP,
88,88,15,1,CD4192,CMOS 4000 Series Logic Gates,PRESETTABLE UP-DOWN COUNTER,
89,89,15,1,CD4402,CMOS 4000 Series Logic Gates,DUAL 4 INPUT EXPANDABLE NOR,
90,90,15,1,CD4404,CMOS 4000 Series Logic Gates,8-STAGE BINARY COUNTER,
91,91,15,1,CD4412,CMOS 4000 Series Logic Gates,DUAL 4 INPUT EXPANDABLE NAND,
92,92,15,1,CD4416,CMOS 4000 Series Logic Gates,QUAD ANALOG SWITCH,
93,93,15,1,CD4426,CMOS 4000 Series Logic Gates,BCD COUNTER WITH 7-SEGMENT DECODER,
94,94,15,1,CD4441,CMOS 4000 Series Logic Gates,QUAD BUFFER,
95,95,15,1,CD4446,CMOS 4000 Series Logic Gates,PHASE-LOCKED LOOP,
96,96,15,1,CD4449,CMOS 4000 Series Logic Gates,HEX INVERTER,
97,97,#N/A,1,CD4500,CMOS 4000 Series Logic Gates,INDUSTRIAL CONTROL UNIT,
98,98,15,1,CD4502,CMOS 4000 Series Logic Gates,STROBED HEX INVERTING BUFFER (TRI-STATE),
99,99,14,1,CD4503,CMOS 4000 Series Logic Gates,HEX NON-INVERTING BUFFER WITH TRI-STATE OUTPUTS,
100,100,#N/A,1,CD4504,CMOS 4000 Series Logic Gates,HEX VOLTAGE LEVEL SHIFTER FOR TTL-TO-CMOS OR CMOS-TO-CMOS OPERATION,
101,101,#N/A,1,CD4505,CMOS 4000 Series Logic Gates,"64-BIT, 1-BIT PER WORD RANDOM ACCESS MEMORY (RAM)",
102,102,15,1,CD4508,CMOS 4000 Series Logic Gates,DUAL 4-BIT LATCH WITH TRI-STATE OUTPUTS,
103,103,#N/A,1,CD4510,CMOS 4000 Series Logic Gates,PRESETTABLE 4-BIT BCD UP/DOWN COUNTER,
104,104,14,1,CD4511,CMOS 4000 Series Logic Gates,BCD TO 7-SEGMENT LATCH/DECODER/DRIVER,
105,105,14,1,CD4512,CMOS 4000 Series Logic Gates,8-INPUT MULTIPLEXER (DATA SELECTOR) WITH TRI-STATE OUTPUT,
106,106,#N/A,1,CD4513,CMOS 4000 Series Logic Gates,BCD TO 7-SEGMENT LATCH/DECODER/DRIVER (4511 PLUS RIPPLE BLANKING),
107,107,15,1,CD4514,CMOS 4000 Series Logic Gates,1-OF-16 DECODER/DEMULTIPLEXER ACTIVE HIGH OUTPUT,
108,108,15,1,CD4515,CMOS 4000 Series Logic Gates,1-OF-16 DECODER/DEMULTIPLEXER ACTIVE LOW OUTPUT,
109,109,#N/A,1,CD4516,CMOS 4000 Series Logic Gates,PRESETTABLE 4-BIT BINARY UP/DOWN COUNTER,
110,110,15,1,CD4517,CMOS 4000 Series Logic Gates,DUAL 64-STAGE SHIFT REGISTER,
111,111,14,1,CD4518,CMOS 4000 Series Logic Gates,DUAL BCD UP COUNTER,
112,112,#N/A,1,CD4519,CMOS 4000 Series Logic Gates,QUAD 2-INPUT MULTIPLEXER (DATA SELECTOR),
113,113,14,1,CD4520,CMOS 4000 Series Logic Gates,DUAL 4-BIT BINARY UP COUNTER,
114,114,#N/A,1,CD4521,CMOS 4000 Series Logic Gates,24-STAGE FREQUENCY DIVIDER,
115,115,15,1,CD4522,CMOS 4000 Series Logic Gates,PROGRAMMABLE BCD DIVIDE-BY-N COUNTER,
116,116,#N/A,1,CD4526,CMOS 4000 Series Logic Gates,PROGRAMMABLE 4-BIT BINARY DOWN COUNTER,
117,117,15,1,CD4527,CMOS 4000 Series Logic Gates,BCD RATE MULTIPLIER,
118,118,#N/A,1,CD4528,CMOS 4000 Series Logic Gates,DUAL RETRIGGERABLE MONOSTABLE MULTIVIBRATOR WITH RESET,
119,119,#N/A,1,CD4529,CMOS 4000 Series Logic Gates,DUAL 4-CHANNEL ANALOG DATA SELECTOR/MULTIPLEXER,
120,120,#N/A,1,CD4530,CMOS 4000 Series Logic Gates,DUAL 5-INPUT MAJORITY LOGICAL GATE,
121,121,#N/A,1,CD4531,CMOS 4000 Series Logic Gates,12-BIT PARITY TREE,
122,122,15,1,CD4532,CMOS 4000 Series Logic Gates,8-BIT¾PRIORITY ENCODER,
123,123,#N/A,1,CD4536,CMOS 4000 Series Logic Gates,PROGRAMMABLE TIMER,
124,124,#N/A,1,CD4538,CMOS 4000 Series Logic Gates,DUAL RETRIGGERABLE PRECISION MONOSTABLE MULTIVIBRATOR,
125,125,#N/A,1,CD4539,CMOS 4000 Series Logic Gates,DUAL 4-INPUT MULTIPLEXER,
126,126,#N/A,1,CD4541,CMOS 4000 Series Logic Gates,PROGRAMMABLE TIMER,
127,127,14,1,CD4543,CMOS 4000 Series Logic Gates,BCD TO 7-SEGMENT LATCH/DECODER/DRIVER WITH PHASE INPUT,
128,128,#N/A,1,CD4551,CMOS 4000 Series Logic Gates,QUAD 2-CHANNEL ANALOG MULTIPLEXER/DEMULTIPLEXER,
129,129,#N/A,1,CD4553,CMOS 4000 Series Logic Gates,3-DIGIT BCD COUNTER,
130,130,15,1,CD4555,CMOS 4000 Series Logic Gates,DUAL 1-OF-4 DECODER/DEMULTIPLEXER ACTIVE HIGH OUTPUT,
131,131,#N/A,1,CD4556,CMOS 4000 Series Logic Gates,DUAL 1-OF-4 DECODER/DEMULTIPLEXER ACTIVE LOW OUTPUT,
132,132,#N/A,1,CD4557,CMOS 4000 Series Logic Gates,1-TO-64 BIT VARIABLE LENGTH SHIFT REGISTER,
133,133,#N/A,1,CD4558,CMOS 4000 Series Logic Gates,"BCD TO 7-SEGMENT DECODER (ENABLE, RBI AND PROVIDES ACTIVE_HIGH OUTPUT)",
134,134,#N/A,1,CD4560,CMOS 4000 Series Logic Gates,NBCD ADDER,
135,135,#N/A,1,CD4562,CMOS 4000 Series Logic Gates,128_BIT STATIC SHIFT REGISTER,
136,136,#N/A,1,CD4566,CMOS 4000 Series Logic Gates,INDUSTRIAL¾TIME-BASE GENERATOR,
137,137,#N/A,1,CD4569,CMOS 4000 Series Logic Gates,"PROGRAMMABLE DIVIDE-BY-N, DUAL 4-BIT BINARY/BCD DOWN COUNTER",
138,138,#N/A,1,CD4572,CMOS 4000 Series Logic Gates,"HEX GATE¾: QUAD NOT, SINGLE NAND, SINGLE NOR",
139,139,#N/A,1,CD4583,CMOS 4000 Series Logic Gates,DUAL SCHMITT TRIGGER,
140,140,#N/A,1,CD4584,CMOS 4000 Series Logic Gates,HEX INVERTING SCHMITT TRIGGER,
141,141,14,1,CD4585,CMOS 4000 Series Logic Gates,4-BIT¾DIGITAL COMPARATOR,
142,142,#N/A,1,CD4724,CMOS 4000 Series Logic Gates,8-BIT ADDRESSABLE LATCH,
143,143,#N/A,1,CD4750,CMOS 4000 Series Logic Gates,FREQUENCY SYNTHESIZER,
144,144,#N/A,1,CD4751,CMOS 4000 Series Logic Gates,UNIVERSAL DIVIDER,
145,145,#N/A,1,CD4794,CMOS 4000 Series Logic Gates,8-STAGE SHIFT-AND-STORE REGISTER¾LED¾DRIVER,
146,146,#N/A,1,CD4894,CMOS 4000 Series Logic Gates,12-STAGE SHIFT-AND-STORE REGISTER LED DRIVER,
147,147,#N/A,1,CD4938,CMOS 4000 Series Logic Gates,DUAL RETRIGGERABLE PRECISION¾MONOSTABLE MULTIVIBRATOR¾WITH RESET,
148,148,#N/A,1,CD4952,CMOS 4000 Series Logic Gates,8-CHANNEL ANALOG MULTIPLEXER/DEMULTIPLEXER,
149,149,#N/A,1,CD40098,CMOS 4000 Series Logic Gates,HEX 3-STATE INVERTING BUFFER,
150,150,#N/A,1,CD40100,CMOS 4000 Series Logic Gates,32-BIT LEFT/RIGHT SHIFT REGISTER,
151,151,#N/A,1,CD40101,CMOS 4000 Series Logic Gates,9-BIT PARITY GENERATOR/CHECKER,
152,152,#N/A,1,CD40102,CMOS 4000 Series Logic Gates,PRESETTABLE 2-DECADE BCD DOWN COUNTER,
153,153,#N/A,1,CD40103,CMOS 4000 Series Logic Gates,PRESETTABLE 8-BIT BINARY DOWN COUNTER,
154,154,#N/A,1,CD40104,CMOS 4000 Series Logic Gates,4-BIT BIDIRECTIONAL PARALLEL-IN/PARALLEL-OUT SHIFT REGISTER (TRI-STATE),
155,155,#N/A,1,CD40105,CMOS 4000 Series Logic Gates,4-BIT X 16 WORD¾FIFO¾REGISTER,
156,156,#N/A,1,CD40106,CMOS 4000 Series Logic Gates,HEX INVERTING SCHMITT TRIGGER-(NOT GATES),
157,157,#N/A,1,CD40107,CMOS 4000 Series Logic Gates,DUAL 2-INPUT NAND BUFFER/DRIVER,
158,158,#N/A,1,CD40108,CMOS 4000 Series Logic Gates,4X4-BIT (TRI-STATE) SYNCHRONOUS TRIPLE-PORT REGISTER FILE,
159,159,#N/A,1,CD40109,CMOS 4000 Series Logic Gates,QUAD LEVEL SHIFTER,
160,160,#N/A,1,CD40110,CMOS 4000 Series Logic Gates,UP/DOWN COUNTER LATCH DECODER DRIVER,
161,161,#N/A,1,CD40116,CMOS 4000 Series Logic Gates,8-BIT BIDIRECTIONAL CMOS-TO-TTL¾LEVEL CONVERTER,
162,162,#N/A,1,CD40117,CMOS 4000 Series Logic Gates,PROGRAMMABLE DUAL 4-BIT TERMINATOR,
163,163,#N/A,1,CD40147,CMOS 4000 Series Logic Gates,10-LINE TO 4-LINE (BCD) PRIORITY ENCODER,
164,164,#N/A,1,CD40160,CMOS 4000 Series Logic Gates,DECADE COUNTER/ASYNCHRONOUS¾CLEAR,
165,165,#N/A,1,CD40161,CMOS 4000 Series Logic Gates,BINARY COUNTER/ASYNCHRONOUS CLEAR,
166,166,#N/A,1,CD40162,CMOS 4000 Series Logic Gates,"4-BIT¾SYNCHRONOUS¾DECADE COUNTER WITH LOAD, RESET, AND¾RIPPLE CARRY¾OUTPUT",
167,167,#N/A,1,CD40163,CMOS 4000 Series Logic Gates,"4-BIT SYNCHRONOUS BINARY COUNTER WITH LOAD, RESET, AND RIPPLE CARRY OUTPUT",
168,168,#N/A,1,CD40174,CMOS 4000 Series Logic Gates,HEX D-TYPE FLIP-FLOP,
169,169,#N/A,1,CD40175,CMOS 4000 Series Logic Gates,QUAD D-TYPE FLIP-FLOP,
170,170,#N/A,1,CD40181,CMOS 4000 Series Logic Gates,4-BIT 16-FUNCTION¾ARITHMETIC LOGIC UNIT,
171,171,#N/A,1,CD40192,CMOS 4000 Series Logic Gates,PRESETTABLE 4-BIT UP/DOWN BCD COUNTER,
172,172,#N/A,1,CD40193,CMOS 4000 Series Logic Gates,PRESETTABLE 4-BIT UP/DOWN BINARY COUNTER,
173,173,#N/A,1,CD40194,CMOS 4000 Series Logic Gates,4-BIT BIDIRECTIONAL UNIVERSAL SHIFT REGISTER,
174,174,#N/A,1,CD40195,CMOS 4000 Series Logic Gates,4-BIT UNIVERSAL SHIFT REGISTER,
175,175,#N/A,1,CD40208,CMOS 4000 Series Logic Gates,4 X 4-BIT (TRI-STATE) SYNCHRONOUS TRIPLE-PORT¾REGISTER FILE,
176,176,#N/A,1,CD40240,CMOS 4000 Series Logic Gates,BUFFER/LINE DRIVER; INVERTING (TRI-STATE),
177,177,#N/A,1,CD40244,CMOS 4000 Series Logic Gates,BUFFER/LINE DRIVER; NON-INVERTING (TRI-STATE),
178,178,#N/A,1,CD40245,CMOS 4000 Series Logic Gates,OCTAL¾BUS TRANSCEIVER; (TRI-STATE) OUTPUTS,
179,179,#N/A,1,CD40257,CMOS 4000 Series Logic Gates,QUAD 2-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER (TRI-STATE),
180,180,#N/A,1,CD40373,CMOS 4000 Series Logic Gates,OCTAL D-TYPE¾TRANSPARENT LATCH¾(TRI-STATE),
181,181,#N/A,1,CD40374,CMOS 4000 Series Logic Gates,OCTAL D-TYPE FLIP-FLOP; POSITIVE-EDGE TRIGGER (TRI-STATE),
182,182,#N/A,1,CD45106,CMOS 4000 Series Logic Gates,FREQUENCY SYNTHESIZER,
183,183,16,1,74LS00,74 LS Series Logic ,QUAD 2-INPUT¾NAND GATE,
184,184,#N/A,1,74LS1G00,74 LS Series Logic ,SINGLE 2-INPUT NAND GATE,
185,185,18,1,74LS01,74 LS Series Logic ,QUAD 2-INPUT NAND GATE WITH¾OPEN COLLECTOR¾OUTPUTS,
186,186,#N/A,1,74LS1G01,74 LS Series Logic ,SINGLE 2-INPUT NAND GATE WITH¾OPEN DRAIN¾OUTPUT,
187,187,16,1,74LS02,74 LS Series Logic ,QUAD 2-INPUT¾NOR¾GATE,
188,188,#N/A,1,74LS1G02,74 LS Series Logic ,SINGLE 2-INPUT NOR GATE,
189,189,18,1,74LS03,74 LS Series Logic ,QUAD 2-INPUT NAND GATE WITH OPEN COLLECTOR OUTPUTS,
190,190,#N/A,1,74LS1G03,74 LS Series Logic ,SINGLE 2-INPUT NAND GATE WITH OPEN DRAIN OUTPUT,
191,191,16,1,74LS04,74 LS Series Logic ,HEX¾INVERTER,
192,192,#N/A,1,74LS1G04,74 LS Series Logic ,SINGLE INVERTER,
193,193,16,1,74LS05,74 LS Series Logic ,HEX INVERTER WITH OPEN COLLECTOR OUTPUTS,
194,194,#N/A,1,74LS1G05,74 LS Series Logic ,SINGLE INVERTER WITH OPEN DRAIN OUTPUT,
195,195,#N/A,1,74LS06,74 LS Series Logic ,HEX INVERTER BUFFER/DRIVER WITH 30¾V OPEN COLLECTOR OUTPUTS,
196,196,#N/A,1,74LS1G06,74 LS Series Logic ,SINGLE INVERTING BUFFER/DRIVER WITH OPEN DRAIN OUTPUT,
197,197,16,1,74LS07,74 LS Series Logic ,HEX BUFFER/DRIVER WITH 30¾V OPEN COLLECTOR OUTPUTS,
198,198,#N/A,1,74LS1G07,74 LS Series Logic ,SINGLE NON-INVERTING BUFFER/DRIVER WITH OPEN DRAIN OUTPUT,
199,199,16,1,74LS08,74 LS Series Logic ,QUAD 2-INPUT¾AND GATE,
200,200,#N/A,1,74LS1G08,74 LS Series Logic ,SINGLE 2-INPUT AND GATE,
201,201,#N/A,1,74LS09,74 LS Series Logic ,QUAD 2-INPUT AND GATE WITH OPEN COLLECTOR OUTPUTS,
202,202,#N/A,1,74LS1G09,74 LS Series Logic ,SINGLE 2-INPUT AND GATE WITH OPEN DRAIN OUTPUT,
203,203,16,1,74LS10,74 LS Series Logic ,TRIPLE 3-INPUT NAND GATE,
204,204,#N/A,1,74LS11,74 LS Series Logic ,TRIPLE 3-INPUT AND GATE,
205,205,18,1,74LS12,74 LS Series Logic ,TRIPLE 3-INPUT NAND GATE WITH OPEN COLLECTOR OUTPUTS,
206,206,18,1,74LS13,74 LS Series Logic ,DUAL¾SCHMITT TRIGGER¾4-INPUT NAND GATE,
207,207,16,1,74LS14,74 LS Series Logic ,HEX SCHMITT TRIGGER INVERTER,
208,208,#N/A,1,74LS1G14,74 LS Series Logic ,SINGLE SCHMITT TRIGGER INVERTER,
209,209,18,1,74LS15,74 LS Series Logic ,TRIPLE 3-INPUT AND GATE WITH OPEN COLLECTOR OUTPUTS,
210,210,#N/A,1,74LS16,74 LS Series Logic ,HEX INVERTER BUFFER/DRIVER WITH 15¾V OPEN COLLECTOR OUTPUTS,
211,211,#N/A,1,74LS17,74 LS Series Logic ,HEX BUFFER/DRIVER WITH 15¾V OPEN COLLECTOR OUTPUTS,
212,212,#N/A,1,74LS1G17,74 LS Series Logic ,SINGLE SCHMITT-TRIGGER BUFFER,
213,213,#N/A,1,74LS18,74 LS Series Logic ,DUAL 4-INPUT NAND GATE WITH SCHMITT TRIGGER INPUTS,
214,214,#N/A,1,74LS19,74 LS Series Logic ,HEX SCHMITT TRIGGER INVERTER,
215,215,16,1,74LS20,74 LS Series Logic ,DUAL 4-INPUT NAND GATE,
216,216,16,1,74LS21,74 LS Series Logic ,DUAL 4-INPUT AND GATE,
217,217,#N/A,1,74LS22,74 LS Series Logic ,DUAL 4-INPUT NAND GATE WITH OPEN COLLECTOR OUTPUTS,
218,218,#N/A,1,74LS23,74 LS Series Logic ,EXPANDABLE DUAL 4-INPUT NOR GATE WITH STROBE,
219,219,#N/A,1,74LS24,74 LS Series Logic ,QUAD 2-INPUT NAND GATE GATES WITH SCHMITT TRIGGER LINE-RECEIVER INPUTS.,
220,220,#N/A,1,74LS25,74 LS Series Logic ,DUAL 4-INPUT NOR GATE WITH STROBE,
221,221,18,1,74LS26,74 LS Series Logic ,QUAD 2-INPUT NAND GATE WITH 15¾V OPEN COLLECTOR OUTPUTS,
222,222,16,1,74LS27,74 LS Series Logic ,TRIPLE 3-INPUT NOR GATE,
223,223,#N/A,1,74LS1G27,74 LS Series Logic ,SINGLE 3-INPUT NOR GATE,
224,224,#N/A,1,74LS28,74 LS Series Logic ,QUAD 2-INPUT NOR BUFFER,
225,225,#N/A,1,74LS30,74 LS Series Logic ,8-INPUT NAND GATE,
226,226,#N/A,1,74LS31,74 LS Series Logic ,HEX DELAY ELEMENTS,
227,227,16,1,74LS32,74 LS Series Logic ,QUAD 2-INPUT¾OR GATE,
228,228,#N/A,1,74LS1G32,74 LS Series Logic ,SINGLE 2-INPUT OR GATE,
229,229,#N/A,1,74LS33,74 LS Series Logic ,QUAD 2-INPUT NOR BUFFER WITH OPEN COLLECTOR OUTPUTS,
230,230,#N/A,1,74LS34,74 LS Series Logic ,HEX NONINVERTERS,
231,231,#N/A,1,74LS35,74 LS Series Logic ,HEX NONINVERTERS WITH OPEN-COLLECTOR OUTPUTS,
